base,ligand,solvent,concentration,temperature,yield
KOAc,BrettPhos,DMAc,0.1,105,5.47
KOAc,PPhtBu2,DMAc,0.1,105,0
KOAc,tBPh-CPhos,DMAc,0.1,105,78.95
KOAc,PCy3 HBF4,DMAc,0.1,105,7.26
KOAc,PPh3,DMAc,0.1,105,28.15
KOAc,X-Phos,DMAc,0.1,105,65.37
KOPiv,BrettPhos,DMAc,0.1,105,0.07
KOPiv,PPhtBu2,DMAc,0.1,105,0
KOPiv,tBPh-CPhos,DMAc,0.1,105,28.64
KOPiv,PCy3 HBF4,DMAc,0.1,105,10.44
KOPiv,PPh3,DMAc,0.1,105,63.13
KOPiv,X-Phos,DMAc,0.1,105,77.41
CsOAc,BrettPhos,DMAc,0.1,105,4.74
CsOAc,PPhtBu2,DMAc,0.1,105,0
CsOAc,tBPh-CPhos,DMAc,0.1,105,29.31
CsOAc,PCy3 HBF4,DMAc,0.1,105,12.83
CsOAc,PPh3,DMAc,0.1,105,62.82
CsOAc,X-Phos,DMAc,0.1,105,87.83
CsOPiv,BrettPhos,DMAc,0.1,105,0
CsOPiv,PPhtBu2,DMAc,0.1,105,0
CsOPiv,tBPh-CPhos,DMAc,0.1,105,7.62
CsOPiv,PCy3 HBF4,DMAc,0.1,105,8.85
CsOPiv,PPh3,DMAc,0.1,105,52.05
CsOPiv,X-Phos,DMAc,0.1,105,29.16
KOAc,BrettPhos,BuCN,0.1,105,18.44
KOAc,PPhtBu2,BuCN,0.1,105,0
KOAc,tBPh-CPhos,BuCN,0.1,105,6.17
KOAc,PCy3 HBF4,BuCN,0.1,105,0
KOAc,PPh3,BuCN,0.1,105,6.24
KOAc,X-Phos,BuCN,0.1,105,47.3
KOPiv,BrettPhos,BuCN,0.1,105,56.05
KOPiv,PPhtBu2,BuCN,0.1,105,0
KOPiv,tBPh-CPhos,BuCN,0.1,105,6.39
KOPiv,PCy3 HBF4,BuCN,0.1,105,0.35
KOPiv,PPh3,BuCN,0.1,105,4.28
KOPiv,X-Phos,BuCN,0.1,105,56.14
CsOAc,BrettPhos,BuCN,0.1,105,64.48
CsOAc,PPhtBu2,BuCN,0.1,105,0
CsOAc,tBPh-CPhos,BuCN,0.1,105,5.88
CsOAc,PCy3 HBF4,BuCN,0.1,105,0.57
CsOAc,PPh3,BuCN,0.1,105,3.21
CsOAc,X-Phos,BuCN,0.1,105,83.83
CsOPiv,BrettPhos,BuCN,0.1,105,55.41
CsOPiv,PPhtBu2,BuCN,0.1,105,0
CsOPiv,tBPh-CPhos,BuCN,0.1,105,5.41
CsOPiv,PCy3 HBF4,BuCN,0.1,105,0.33
CsOPiv,PPh3,BuCN,0.1,105,3.44
CsOPiv,X-Phos,BuCN,0.1,105,68.53
KOAc,BrettPhos,BuOAc,0.1,105,17.09
KOAc,PPhtBu2,BuOAc,0.1,105,0
KOAc,tBPh-CPhos,BuOAc,0.1,105,0
KOAc,PCy3 HBF4,BuOAc,0.1,105,0
KOAc,PPh3,BuOAc,0.1,105,3.41
KOAc,X-Phos,BuOAc,0.1,105,64.62
KOPiv,BrettPhos,BuOAc,0.1,105,49.22
KOPiv,PPhtBu2,BuOAc,0.1,105,0
KOPiv,tBPh-CPhos,BuOAc,0.1,105,22.75
KOPiv,PCy3 HBF4,BuOAc,0.1,105,0
KOPiv,PPh3,BuOAc,0.1,105,1.92
KOPiv,X-Phos,BuOAc,0.1,105,48.25
CsOAc,BrettPhos,BuOAc,0.1,105,26.64
CsOAc,PPhtBu2,BuOAc,0.1,105,0
CsOAc,tBPh-CPhos,BuOAc,0.1,105,0
CsOAc,PCy3 HBF4,BuOAc,0.1,105,0
CsOAc,PPh3,BuOAc,0.1,105,4.22
CsOAc,X-Phos,BuOAc,0.1,105,86.43
CsOPiv,BrettPhos,BuOAc,0.1,105,27.48
CsOPiv,PPhtBu2,BuOAc,0.1,105,0
CsOPiv,tBPh-CPhos,BuOAc,0.1,105,15.16
CsOPiv,PCy3 HBF4,BuOAc,0.1,105,0
CsOPiv,PPh3,BuOAc,0.1,105,0.91
CsOPiv,X-Phos,BuOAc,0.1,105,59.92
KOAc,BrettPhos,p-Xylene,0.1,105,16.44
KOAc,PPhtBu2,p-Xylene,0.1,105,0
KOAc,tBPh-CPhos,p-Xylene,0.1,105,6.39
KOAc,PCy3 HBF4,p-Xylene,0.1,105,0
KOAc,PPh3,p-Xylene,0.1,105,2.06
KOAc,X-Phos,p-Xylene,0.1,105,43.76
KOPiv,BrettPhos,p-Xylene,0.1,105,29.17
KOPiv,PPhtBu2,p-Xylene,0.1,105,0
KOPiv,tBPh-CPhos,p-Xylene,0.1,105,14.92
KOPiv,PCy3 HBF4,p-Xylene,0.1,105,0
KOPiv,PPh3,p-Xylene,0.1,105,1.41
KOPiv,X-Phos,p-Xylene,0.1,105,35.07
CsOAc,BrettPhos,p-Xylene,0.1,105,40.03
CsOAc,PPhtBu2,p-Xylene,0.1,105,0
CsOAc,tBPh-CPhos,p-Xylene,0.1,105,19.51
CsOAc,PCy3 HBF4,p-Xylene,0.1,105,0.55
CsOAc,PPh3,p-Xylene,0.1,105,10.5
CsOAc,X-Phos,p-Xylene,0.1,105,67.17
CsOPiv,BrettPhos,p-Xylene,0.1,105,21.54
CsOPiv,PPhtBu2,p-Xylene,0.1,105,0
CsOPiv,tBPh-CPhos,p-Xylene,0.1,105,28.65
CsOPiv,PCy3 HBF4,p-Xylene,0.1,105,0
CsOPiv,PPh3,p-Xylene,0.1,105,0.66
CsOPiv,X-Phos,p-Xylene,0.1,105,53.63
KOAc,BrettPhos,DMAc,0.1,90,5.22
KOAc,PPhtBu2,DMAc,0.1,90,0
KOAc,tBPh-CPhos,DMAc,0.1,90,47.03
KOAc,PCy3 HBF4,DMAc,0.1,90,1.71
KOAc,PPh3,DMAc,0.1,90,14.29
KOAc,X-Phos,DMAc,0.1,90,38.03
KOPiv,BrettPhos,DMAc,0.1,90,0
KOPiv,PPhtBu2,DMAc,0.1,90,0
KOPiv,tBPh-CPhos,DMAc,0.1,90,10.12
KOPiv,PCy3 HBF4,DMAc,0.1,90,3.01
KOPiv,PPh3,DMAc,0.1,90,38.78
KOPiv,X-Phos,DMAc,0.1,90,55.17
CsOAc,BrettPhos,DMAc,0.1,90,4.23
CsOAc,PPhtBu2,DMAc,0.1,90,0
CsOAc,tBPh-CPhos,DMAc,0.1,90,17.74
CsOAc,PCy3 HBF4,DMAc,0.1,90,4.02
CsOAc,PPh3,DMAc,0.1,90,32.36
CsOAc,X-Phos,DMAc,0.1,90,84.17
CsOPiv,BrettPhos,DMAc,0.1,90,0
CsOPiv,PPhtBu2,DMAc,0.1,90,0
CsOPiv,tBPh-CPhos,DMAc,0.1,90,4.77
CsOPiv,PCy3 HBF4,DMAc,0.1,90,3.69
CsOPiv,PPh3,DMAc,0.1,90,33.59
CsOPiv,X-Phos,DMAc,0.1,90,22.94
KOAc,BrettPhos,BuCN,0.1,90,9.66
KOAc,PPhtBu2,BuCN,0.1,90,0
KOAc,tBPh-CPhos,BuCN,0.1,90,4.61
KOAc,PCy3 HBF4,BuCN,0.1,90,0
KOAc,PPh3,BuCN,0.1,90,2.83
KOAc,X-Phos,BuCN,0.1,90,26.5
KOPiv,BrettPhos,BuCN,0.1,90,39.5
KOPiv,PPhtBu2,BuCN,0.1,90,0.95
KOPiv,tBPh-CPhos,BuCN,0.1,90,6.69
KOPiv,PCy3 HBF4,BuCN,0.1,90,0
KOPiv,PPh3,BuCN,0.1,90,2.48
KOPiv,X-Phos,BuCN,0.1,90,45.95
CsOAc,BrettPhos,BuCN,0.1,90,48.21
CsOAc,PPhtBu2,BuCN,0.1,90,0
CsOAc,tBPh-CPhos,BuCN,0.1,90,6.27
CsOAc,PCy3 HBF4,BuCN,0.1,90,0
CsOAc,PPh3,BuCN,0.1,90,5.8
CsOAc,X-Phos,BuCN,0.1,90,86.37
CsOPiv,BrettPhos,BuCN,0.1,90,48.64
CsOPiv,PPhtBu2,BuCN,0.1,90,0
CsOPiv,tBPh-CPhos,BuCN,0.1,90,5.29
CsOPiv,PCy3 HBF4,BuCN,0.1,90,0
CsOPiv,PPh3,BuCN,0.1,90,1.9
CsOPiv,X-Phos,BuCN,0.1,90,69.11
KOAc,BrettPhos,BuOAc,0.1,90,20.73
KOAc,PPhtBu2,BuOAc,0.1,90,0
KOAc,tBPh-CPhos,BuOAc,0.1,90,0
KOAc,PCy3 HBF4,BuOAc,0.1,90,0
KOAc,PPh3,BuOAc,0.1,90,1.19
KOAc,X-Phos,BuOAc,0.1,90,28.11
KOPiv,BrettPhos,BuOAc,0.1,90,30.95
KOPiv,PPhtBu2,BuOAc,0.1,90,0
KOPiv,tBPh-CPhos,BuOAc,0.1,90,0
KOPiv,PCy3 HBF4,BuOAc,0.1,90,0
KOPiv,PPh3,BuOAc,0.1,90,0.65
KOPiv,X-Phos,BuOAc,0.1,90,42.3
CsOAc,BrettPhos,BuOAc,0.1,90,29.21
CsOAc,PPhtBu2,BuOAc,0.1,90,0
CsOAc,tBPh-CPhos,BuOAc,0.1,90,0
CsOAc,PCy3 HBF4,BuOAc,0.1,90,0
CsOAc,PPh3,BuOAc,0.1,90,1.9
CsOAc,X-Phos,BuOAc,0.1,90,85.24
CsOPiv,BrettPhos,BuOAc,0.1,90,23.75
CsOPiv,PPhtBu2,BuOAc,0.1,90,0
CsOPiv,tBPh-CPhos,BuOAc,0.1,90,0
CsOPiv,PCy3 HBF4,BuOAc,0.1,90,0
CsOPiv,PPh3,BuOAc,0.1,90,0.26
CsOPiv,X-Phos,BuOAc,0.1,90,3
KOAc,BrettPhos,p-Xylene,0.1,90,17.92
KOAc,PPhtBu2,p-Xylene,0.1,90,0
KOAc,tBPh-CPhos,p-Xylene,0.1,90,7.34
KOAc,PCy3 HBF4,p-Xylene,0.1,90,0
KOAc,PPh3,p-Xylene,0.1,90,0.55
KOAc,X-Phos,p-Xylene,0.1,90,25.5
KOPiv,BrettPhos,p-Xylene,0.1,90,38.12
KOPiv,PPhtBu2,p-Xylene,0.1,90,0
KOPiv,tBPh-CPhos,p-Xylene,0.1,90,23.22
KOPiv,PCy3 HBF4,p-Xylene,0.1,90,0
KOPiv,PPh3,p-Xylene,0.1,90,0.32
KOPiv,X-Phos,p-Xylene,0.1,90,26.33
CsOAc,BrettPhos,p-Xylene,0.1,90,42.45
CsOAc,PPhtBu2,p-Xylene,0.1,90,0
CsOAc,tBPh-CPhos,p-Xylene,0.1,90,20.04
CsOAc,PCy3 HBF4,p-Xylene,0.1,90,0
CsOAc,PPh3,p-Xylene,0.1,90,5.91
CsOAc,X-Phos,p-Xylene,0.1,90,59.27
CsOPiv,BrettPhos,p-Xylene,0.1,90,19.39
CsOPiv,PPhtBu2,p-Xylene,0.1,90,0
CsOPiv,tBPh-CPhos,p-Xylene,0.1,90,31.97
CsOPiv,PCy3 HBF4,p-Xylene,0.1,90,0
CsOPiv,PPh3,p-Xylene,0.1,90,0
CsOPiv,X-Phos,p-Xylene,0.1,90,36.98
KOAc,BrettPhos,DMAc,0.1,120,5.03
KOAc,PPhtBu2,DMAc,0.1,120,7.71
KOAc,tBPh-CPhos,DMAc,0.1,120,82.09
KOAc,PCy3 HBF4,DMAc,0.1,120,24.56
KOAc,PPh3,DMAc,0.1,120,74.04
KOAc,X-Phos,DMAc,0.1,120,88.41
KOPiv,BrettPhos,DMAc,0.1,120,0.26
KOPiv,PPhtBu2,DMAc,0.1,120,28.53
KOPiv,tBPh-CPhos,DMAc,0.1,120,68.33
KOPiv,PCy3 HBF4,DMAc,0.1,120,47.58
KOPiv,PPh3,DMAc,0.1,120,86.46
KOPiv,X-Phos,DMAc,0.1,120,80.61
CsOAc,BrettPhos,DMAc,0.1,120,4.08
CsOAc,PPhtBu2,DMAc,0.1,120,12.35
CsOAc,tBPh-CPhos,DMAc,0.1,120,62.6
CsOAc,PCy3 HBF4,DMAc,0.1,120,44.53
CsOAc,PPh3,DMAc,0.1,120,87.32
CsOAc,X-Phos,DMAc,0.1,120,84.81
CsOPiv,BrettPhos,DMAc,0.1,120,0
CsOPiv,PPhtBu2,DMAc,0.1,120,1.31
CsOPiv,tBPh-CPhos,DMAc,0.1,120,17.43
CsOPiv,PCy3 HBF4,DMAc,0.1,120,27.93
CsOPiv,PPh3,DMAc,0.1,120,76.33
CsOPiv,X-Phos,DMAc,0.1,120,48.15
KOAc,BrettPhos,BuCN,0.1,120,29.25
KOAc,PPhtBu2,BuCN,0.1,120,0
KOAc,tBPh-CPhos,BuCN,0.1,120,8.4
KOAc,PCy3 HBF4,BuCN,0.1,120,1.96
KOAc,PPh3,BuCN,0.1,120,12.65
KOAc,X-Phos,BuCN,0.1,120,56.57
KOPiv,BrettPhos,BuCN,0.1,120,50.79
KOPiv,PPhtBu2,BuCN,0.1,120,0
KOPiv,tBPh-CPhos,BuCN,0.1,120,6.44
KOPiv,PCy3 HBF4,BuCN,0.1,120,3.28
KOPiv,PPh3,BuCN,0.1,120,9.59
KOPiv,X-Phos,BuCN,0.1,120,50.93
CsOAc,BrettPhos,BuCN,0.1,120,69.13
CsOAc,PPhtBu2,BuCN,0.1,120,0
CsOAc,tBPh-CPhos,BuCN,0.1,120,7.69
CsOAc,PCy3 HBF4,BuCN,0.1,120,3.8
CsOAc,PPh3,BuCN,0.1,120,13.09
CsOAc,X-Phos,BuCN,0.1,120,84.17
CsOPiv,BrettPhos,BuCN,0.1,120,46.53
CsOPiv,PPhtBu2,BuCN,0.1,120,0
CsOPiv,tBPh-CPhos,BuCN,0.1,120,5.3
CsOPiv,PCy3 HBF4,BuCN,0.1,120,3.1
CsOPiv,PPh3,BuCN,0.1,120,7.36
CsOPiv,X-Phos,BuCN,0.1,120,59.81
KOAc,BrettPhos,BuOAc,0.1,120,25.86
KOAc,PPhtBu2,BuOAc,0.1,120,0
KOAc,tBPh-CPhos,BuOAc,0.1,120,0
KOAc,PCy3 HBF4,BuOAc,0.1,120,0
KOAc,PPh3,BuOAc,0.1,120,7.89
KOAc,X-Phos,BuOAc,0.1,120,73.71
KOPiv,BrettPhos,BuOAc,0.1,120,43.18
KOPiv,PPhtBu2,BuOAc,0.1,120,0
KOPiv,tBPh-CPhos,BuOAc,0.1,120,0
KOPiv,PCy3 HBF4,BuOAc,0.1,120,0
KOPiv,PPh3,BuOAc,0.1,120,4.23
KOPiv,X-Phos,BuOAc,0.1,120,66.49
CsOAc,BrettPhos,BuOAc,0.1,120,35.91
CsOAc,PPhtBu2,BuOAc,0.1,120,0
CsOAc,tBPh-CPhos,BuOAc,0.1,120,0
CsOAc,PCy3 HBF4,BuOAc,0.1,120,0.03
CsOAc,PPh3,BuOAc,0.1,120,4.94
CsOAc,X-Phos,BuOAc,0.1,120,2.79
CsOPiv,BrettPhos,BuOAc,0.1,120,51.99
CsOPiv,PPhtBu2,BuOAc,0.1,120,0
CsOPiv,tBPh-CPhos,BuOAc,0.1,120,19.42
CsOPiv,PCy3 HBF4,BuOAc,0.1,120,1.37
CsOPiv,PPh3,BuOAc,0.1,120,2.49
CsOPiv,X-Phos,BuOAc,0.1,120,52.22
KOAc,BrettPhos,p-Xylene,0.1,120,18.55
KOAc,PPhtBu2,p-Xylene,0.1,120,0
KOAc,tBPh-CPhos,p-Xylene,0.1,120,5.69
KOAc,PCy3 HBF4,p-Xylene,0.1,120,0
KOAc,PPh3,p-Xylene,0.1,120,5.94
KOAc,X-Phos,p-Xylene,0.1,120,67.04
KOPiv,BrettPhos,p-Xylene,0.1,120,37.36
KOPiv,PPhtBu2,p-Xylene,0.1,120,0
KOPiv,tBPh-CPhos,p-Xylene,0.1,120,20.87
KOPiv,PCy3 HBF4,p-Xylene,0.1,120,0
KOPiv,PPh3,p-Xylene,0.1,120,4.48
KOPiv,X-Phos,p-Xylene,0.1,120,44.74
CsOAc,BrettPhos,p-Xylene,0.1,120,28.93
CsOAc,PPhtBu2,p-Xylene,0.1,120,0
CsOAc,tBPh-CPhos,p-Xylene,0.1,120,16.09
CsOAc,PCy3 HBF4,p-Xylene,0.1,120,2.98
CsOAc,PPh3,p-Xylene,0.1,120,16.64
CsOAc,X-Phos,p-Xylene,0.1,120,67.17
CsOPiv,BrettPhos,p-Xylene,0.1,120,25.35
CsOPiv,PPhtBu2,p-Xylene,0.1,120,0
CsOPiv,tBPh-CPhos,p-Xylene,0.1,120,23.77
CsOPiv,PCy3 HBF4,p-Xylene,0.1,120,0.69
CsOPiv,PPh3,p-Xylene,0.1,120,2.69
CsOPiv,X-Phos,p-Xylene,0.1,120,55.8
KOAc,BrettPhos,DMAc,0.057,90,3.6
KOAc,PPhtBu2,DMAc,0.057,90,0
KOAc,tBPh-CPhos,DMAc,0.057,90,57.27
KOAc,PCy3 HBF4,DMAc,0.057,90,3.4
KOAc,PPh3,DMAc,0.057,90,19.55
KOAc,X-Phos,DMAc,0.057,90,43.2
KOPiv,BrettPhos,DMAc,0.057,90,0
KOPiv,PPhtBu2,DMAc,0.057,90,0
KOPiv,tBPh-CPhos,DMAc,0.057,90,12.23
KOPiv,PCy3 HBF4,DMAc,0.057,90,5.85
KOPiv,PPh3,DMAc,0.057,90,46.46
KOPiv,X-Phos,DMAc,0.057,90,52.77
CsOAc,BrettPhos,DMAc,0.057,90,1.96
CsOAc,PPhtBu2,DMAc,0.057,90,0
CsOAc,tBPh-CPhos,DMAc,0.057,90,31.18
CsOAc,PCy3 HBF4,DMAc,0.057,90,8.04
CsOAc,PPh3,DMAc,0.057,90,36.96
CsOAc,X-Phos,DMAc,0.057,90,79.33
CsOPiv,BrettPhos,DMAc,0.057,90,0
CsOPiv,PPhtBu2,DMAc,0.057,90,0
CsOPiv,tBPh-CPhos,DMAc,0.057,90,5.29
CsOPiv,PCy3 HBF4,DMAc,0.057,90,6.38
CsOPiv,PPh3,DMAc,0.057,90,44.96
CsOPiv,X-Phos,DMAc,0.057,90,23.71
KOAc,BrettPhos,BuCN,0.057,90,6.26
KOAc,PPhtBu2,BuCN,0.057,90,0
KOAc,tBPh-CPhos,BuCN,0.057,90,5.62
KOAc,PCy3 HBF4,BuCN,0.057,90,0
KOAc,PPh3,BuCN,0.057,90,4.3
KOAc,X-Phos,BuCN,0.057,90,18.72
KOPiv,BrettPhos,BuCN,0.057,90,29.57
KOPiv,PPhtBu2,BuCN,0.057,90,0
KOPiv,tBPh-CPhos,BuCN,0.057,90,5.62
KOPiv,PCy3 HBF4,BuCN,0.057,90,0.14
KOPiv,PPh3,BuCN,0.057,90,5.92
KOPiv,X-Phos,BuCN,0.057,90,30.83
CsOAc,BrettPhos,BuCN,0.057,90,36.72
CsOAc,PPhtBu2,BuCN,0.057,90,0
CsOAc,tBPh-CPhos,BuCN,0.057,90,6.57
CsOAc,PCy3 HBF4,BuCN,0.057,90,0.28
CsOAc,PPh3,BuCN,0.057,90,6.56
CsOAc,X-Phos,BuCN,0.057,90,72.9
CsOPiv,BrettPhos,BuCN,0.057,90,37.58
CsOPiv,PPhtBu2,BuCN,0.057,90,0
CsOPiv,tBPh-CPhos,BuCN,0.057,90,4.89
CsOPiv,PCy3 HBF4,BuCN,0.057,90,0.86
CsOPiv,PPh3,BuCN,0.057,90,5.19
CsOPiv,X-Phos,BuCN,0.057,90,40.02
KOAc,BrettPhos,BuOAc,0.057,90,17.54
KOAc,PPhtBu2,BuOAc,0.057,90,0
KOAc,tBPh-CPhos,BuOAc,0.057,90,2.72
KOAc,PCy3 HBF4,BuOAc,0.057,90,0
KOAc,PPh3,BuOAc,0.057,90,1.27
KOAc,X-Phos,BuOAc,0.057,90,32.71
KOPiv,BrettPhos,BuOAc,0.057,90,61.94
KOPiv,PPhtBu2,BuOAc,0.057,90,0
KOPiv,tBPh-CPhos,BuOAc,0.057,90,17.9
KOPiv,PCy3 HBF4,BuOAc,0.057,90,0
KOPiv,PPh3,BuOAc,0.057,90,0.05
KOPiv,X-Phos,BuOAc,0.057,90,68.86
CsOAc,BrettPhos,BuOAc,0.057,90,22.92
CsOAc,PPhtBu2,BuOAc,0.057,90,0
CsOAc,tBPh-CPhos,BuOAc,0.057,90,7.84
CsOAc,PCy3 HBF4,BuOAc,0.057,90,0
CsOAc,PPh3,BuOAc,0.057,90,1.03
CsOAc,X-Phos,BuOAc,0.057,90,61.71
CsOPiv,BrettPhos,BuOAc,0.057,90,28.74
CsOPiv,PPhtBu2,BuOAc,0.057,90,0
CsOPiv,tBPh-CPhos,BuOAc,0.057,90,16.51
CsOPiv,PCy3 HBF4,BuOAc,0.057,90,0
CsOPiv,PPh3,BuOAc,0.057,90,0.43
CsOPiv,X-Phos,BuOAc,0.057,90,62.34
KOAc,BrettPhos,p-Xylene,0.057,90,12.39
KOAc,PPhtBu2,p-Xylene,0.057,90,0
KOAc,tBPh-CPhos,p-Xylene,0.057,90,6.98
KOAc,PCy3 HBF4,p-Xylene,0.057,90,0
KOAc,PPh3,p-Xylene,0.057,90,0.24
KOAc,X-Phos,p-Xylene,0.057,90,22.31
KOPiv,BrettPhos,p-Xylene,0.057,90,38.68
KOPiv,PPhtBu2,p-Xylene,0.057,90,0
KOPiv,tBPh-CPhos,p-Xylene,0.057,90,19.77
KOPiv,PCy3 HBF4,p-Xylene,0.057,90,0
KOPiv,PPh3,p-Xylene,0.057,90,0.04
KOPiv,X-Phos,p-Xylene,0.057,90,23.45
CsOAc,BrettPhos,p-Xylene,0.057,90,25.62
CsOAc,PPhtBu2,p-Xylene,0.057,90,0
CsOAc,tBPh-CPhos,p-Xylene,0.057,90,16.76
CsOAc,PCy3 HBF4,p-Xylene,0.057,90,0
CsOAc,PPh3,p-Xylene,0.057,90,2.04
CsOAc,X-Phos,p-Xylene,0.057,90,53.43
CsOPiv,BrettPhos,p-Xylene,0.057,90,21.8
CsOPiv,PPhtBu2,p-Xylene,0.057,90,0
CsOPiv,tBPh-CPhos,p-Xylene,0.057,90,25.31
CsOPiv,PCy3 HBF4,p-Xylene,0.057,90,0
CsOPiv,PPh3,p-Xylene,0.057,90,0.01
CsOPiv,X-Phos,p-Xylene,0.057,90,34.98
KOAc,BrettPhos,DMAc,0.057,105,2.41
KOAc,PPhtBu2,DMAc,0.057,105,0.12
KOAc,tBPh-CPhos,DMAc,0.057,105,68.71
KOAc,PCy3 HBF4,DMAc,0.057,105,6.22
KOAc,PPh3,DMAc,0.057,105,27.82
KOAc,X-Phos,DMAc,0.057,105,55.4
KOPiv,BrettPhos,DMAc,0.057,105,0
KOPiv,PPhtBu2,DMAc,0.057,105,0
KOPiv,tBPh-CPhos,DMAc,0.057,105,18.42
KOPiv,PCy3 HBF4,DMAc,0.057,105,10.98
KOPiv,PPh3,DMAc,0.057,105,63.61
KOPiv,X-Phos,DMAc,0.057,105,61
CsOAc,BrettPhos,DMAc,0.057,105,1.85
CsOAc,PPhtBu2,DMAc,0.057,105,0
CsOAc,tBPh-CPhos,DMAc,0.057,105,42.43
CsOAc,PCy3 HBF4,DMAc,0.057,105,15.26
CsOAc,PPh3,DMAc,0.057,105,53.46
CsOAc,X-Phos,DMAc,0.057,105,89.17
CsOPiv,BrettPhos,DMAc,0.057,105,0
CsOPiv,PPhtBu2,DMAc,0.057,105,0
CsOPiv,tBPh-CPhos,DMAc,0.057,105,7.33
CsOPiv,PCy3 HBF4,DMAc,0.057,105,11.52
CsOPiv,PPh3,DMAc,0.057,105,59.68
CsOPiv,X-Phos,DMAc,0.057,105,30.21
KOAc,BrettPhos,BuCN,0.057,105,6
KOAc,PPhtBu2,BuCN,0.057,105,0
KOAc,tBPh-CPhos,BuCN,0.057,105,6.57
KOAc,PCy3 HBF4,BuCN,0.057,105,0
KOAc,PPh3,BuCN,0.057,105,6.77
KOAc,X-Phos,BuCN,0.057,105,12.54
KOPiv,BrettPhos,BuCN,0.057,105,29.14
KOPiv,PPhtBu2,BuCN,0.057,105,0
KOPiv,tBPh-CPhos,BuCN,0.057,105,5.77
KOPiv,PCy3 HBF4,BuCN,0.057,105,0.85
KOPiv,PPh3,BuCN,0.057,105,6.78
KOPiv,X-Phos,BuCN,0.057,105,31.13
CsOAc,BrettPhos,BuCN,0.057,105,45.11
CsOAc,PPhtBu2,BuCN,0.057,105,0
CsOAc,tBPh-CPhos,BuCN,0.057,105,5.6
CsOAc,PCy3 HBF4,BuCN,0.057,105,1.13
CsOAc,PPh3,BuCN,0.057,105,9.16
CsOAc,X-Phos,BuCN,0.057,105,72.89
CsOPiv,BrettPhos,BuCN,0.057,105,39.86
CsOPiv,PPhtBu2,BuCN,0.057,105,0
CsOPiv,tBPh-CPhos,BuCN,0.057,105,5.06
CsOPiv,PCy3 HBF4,BuCN,0.057,105,1.95
CsOPiv,PPh3,BuCN,0.057,105,6.51
CsOPiv,X-Phos,BuCN,0.057,105,36.65
KOAc,BrettPhos,BuOAc,0.057,105,16.39
KOAc,PPhtBu2,BuOAc,0.057,105,0
KOAc,tBPh-CPhos,BuOAc,0.057,105,2.85
KOAc,PCy3 HBF4,BuOAc,0.057,105,0
KOAc,PPh3,BuOAc,0.057,105,1.94
KOAc,X-Phos,BuOAc,0.057,105,41.69
KOPiv,BrettPhos,BuOAc,0.057,105,48.88
KOPiv,PPhtBu2,BuOAc,0.057,105,0
KOPiv,tBPh-CPhos,BuOAc,0.057,105,11.64
KOPiv,PCy3 HBF4,BuOAc,0.057,105,0
KOPiv,PPh3,BuOAc,0.057,105,0.98
KOPiv,X-Phos,BuOAc,0.057,105,69.26
CsOAc,BrettPhos,BuOAc,0.057,105,27.71
CsOAc,PPhtBu2,BuOAc,0.057,105,0
CsOAc,tBPh-CPhos,BuOAc,0.057,105,10.39
CsOAc,PCy3 HBF4,BuOAc,0.057,105,0
CsOAc,PPh3,BuOAc,0.057,105,2.72
